Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Document Type,Publication Stage,Open Access,Source,EID
"Geramian A., Abraham A.","56367710200;57218390610;","Customer classification: A Mamdani fuzzy inference system standpoint for modifying the failure mode and effect analysis based three dimensional approach",2021,"Expert Systems with Applications","186",,"115753","","",,2,"10.1016/j.eswa.2021.115753","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113274129&doi=10.1016%2fj.eswa.2021.115753&partnerID=40&md5=3d306bf3fa341e07b59942d1c33f56f4","Department of Industrial Management, Faculty of Management, University of Tehran, Tehran, Iran; Center for Artificial Intelligence, Innopolis University, Innopolis, Russian Federation; Machine Intelligence Research Labs (MIR Labs), Auburn, WA  98071, United States","Geramian, A., Department of Industrial Management, Faculty of Management, University of Tehran, Tehran, Iran; Abraham, A., Center for Artificial Intelligence, Innopolis University, Innopolis, Russian Federation, Machine Intelligence Research Labs (MIR Labs), Auburn, WA  98071, United States",Article,"Final","",Scopus,2-s2.0-85113274129
"Daniakin K.","57282618500;","Identifying ""good"" practices of developers using corrective and preventive actions and their impact on software metrics",2021,"Journal of Physics: Conference Series","2134","1","012013","","",,,"10.1088/1742-6596/2134/1/012013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123633482&doi=10.1088%2f1742-6596%2f2134%2f1%2f012013&partnerID=40&md5=e2c053c01c6a917117077956a2222cd2","Innopolis University, Innopolis, Russian Federation","Daniakin, K., Innopolis University, Innopolis, Russian Federation",Conference Paper,"Final","All Open Access, Gold",Scopus,2-s2.0-85123633482
"Kruglov A., Aksenov K.","57216030902;57221399180;","VIII-th International Young Scientists Conference on Information Technologies, Telecommunications and Control Systems",2021,"Journal of Physics: Conference Series","2134","1","011001","","",,,"10.1088/1742-6596/2134/1/011001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123604895&doi=10.1088%2f1742-6596%2f2134%2f1%2f011001&partnerID=40&md5=331ba130a0c9b66b56191ed0e911e3a3","Innopolis University, Innopolis, Russian Federation; Ural Federal University, Yekaterinburg, Russian Federation","Kruglov, A., Innopolis University, Innopolis, Russian Federation; Aksenov, K., Ural Federal University, Yekaterinburg, Russian Federation",Editorial,"Final","All Open Access, Bronze",Scopus,2-s2.0-85123604895
"Imbugwa G.B., De Araújo L.J.P., Khazeev M., Enombe E., Saliu H., Mazzara M.","57221395702;57194583034;57200598144;57428823000;57213161363;8557895400;","A case study comparing static analysis tools for evaluating SwiftUI projects",2021,"Journal of Physics: Conference Series","2134","1","012022","","",,,"10.1088/1742-6596/2134/1/012022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123593262&doi=10.1088%2f1742-6596%2f2134%2f1%2f012022&partnerID=40&md5=a3533ea4e58164220b6f21a7f0b87d6a","Innopolis University, Universtikaya St. 1, Tartastan, Russian Federation","Imbugwa, G.B., Innopolis University, Universtikaya St. 1, Tartastan, Russian Federation; De Araújo, L.J.P., Innopolis University, Universtikaya St. 1, Tartastan, Russian Federation; Khazeev, M., Innopolis University, Universtikaya St. 1, Tartastan, Russian Federation; Enombe, E., Innopolis University, Universtikaya St. 1, Tartastan, Russian Federation; Saliu, H., Innopolis University, Universtikaya St. 1, Tartastan, Russian Federation; Mazzara, M., Innopolis University, Universtikaya St. 1, Tartastan, Russian Federation",Conference Paper,"Final","All Open Access, Gold",Scopus,2-s2.0-85123593262
"Bogdanova A., Romanov V.","57377429200;57206352983;","Explainable source code authorship attribution algorithm",2021,"Journal of Physics: Conference Series","2134","1","012011","","",,,"10.1088/1742-6596/2134/1/012011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123591923&doi=10.1088%2f1742-6596%2f2134%2f1%2f012011&partnerID=40&md5=027e6f86c66cb7fd1a3c251d64af8d1e","Innopolis University, Innopolis, Russian Federation","Bogdanova, A., Innopolis University, Innopolis, Russian Federation; Romanov, V., Innopolis University, Innopolis, Russian Federation",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85123591923
"Dlamini G., Kruglov A., Vasquez X., Pavlov V.","57216151508;57216030902;57216852230;57547650800;","Development of a model for assessing energy consumption of a system",2021,"Journal of Physics: Conference Series","2134","1","012012","","",,,"10.1088/1742-6596/2134/1/012012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123583093&doi=10.1088%2f1742-6596%2f2134%2f1%2f012012&partnerID=40&md5=4d01265028ebd178b02582f18be7fd5f","Innopolis University, Russian Federation","Dlamini, G., Innopolis University, Russian Federation; Kruglov, A., Innopolis University, Russian Federation; Vasquez, X., Innopolis University, Russian Federation; Pavlov, V., Innopolis University, Russian Federation",Conference Paper,"Final","All Open Access, Gold",Scopus,2-s2.0-85123583093
"Pimenov D., Solovyov A., Askarbekuly N., Mazzara M.","57226671016;57226666351;57216863408;8557895400;","Data-Driven Approaches to User Interface Design: A Case Study",2021,"Journal of Physics: Conference Series","2134","1","012020","","",,,"10.1088/1742-6596/2134/1/012020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123575373&doi=10.1088%2f1742-6596%2f2134%2f1%2f012020&partnerID=40&md5=fdbc0b7faaecdabedb8ba7c6c4b37b42","Innopolis University, Universitetskaya 1, Tatarstan, Innopolis, 420500, Russian Federation","Pimenov, D., Innopolis University, Universitetskaya 1, Tatarstan, Innopolis, 420500, Russian Federation; Solovyov, A., Innopolis University, Universitetskaya 1, Tatarstan, Innopolis, 420500, Russian Federation; Askarbekuly, N., Innopolis University, Universitetskaya 1, Tatarstan, Innopolis, 420500, Russian Federation; Mazzara, M., Innopolis University, Universitetskaya 1, Tatarstan, Innopolis, 420500, Russian Federation",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85123575373
"Gorb A.","57429710300;","Text-based Recommendation Systems for Software Developers: A Systematic Literature Review",2021,"Journal of Physics: Conference Series","2134","1","012019","","",,,"10.1088/1742-6596/2134/1/012019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123574151&doi=10.1088%2f1742-6596%2f2134%2f1%2f012019&partnerID=40&md5=41ecc716f3c03619cdc0d8166fbd435b","Innopolis University, Innopolis, Russian Federation","Gorb, A., Innopolis University, Innopolis, Russian Federation",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85123574151
"Dang T.N., Kim K., Khan L.U., Kazmi S.M.A., Han Z., Hong C.S.","57188865186;57209175466;56465495100;56783838600;55767186700;56623778200;","On-Device Computational Caching-Enabled Augmented Reality for 5G and Beyond: A Contract-Theory-Based Incentive Mechanism",2021,"IEEE Internet of Things Journal","8","24",,"17382","17394",,1,"10.1109/JIOT.2021.3080709","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107204369&doi=10.1109%2fJIOT.2021.3080709&partnerID=40&md5=8f8d44def797fed93ea066dba3c9e54b","Department of Computer Science and Engineering, Kyung Hee University, Yongin, 17104, South Korea; Networks and Blockchain Lab, Institute of Information Security and Cyber Physical System, Innopolis University, Innopolis, 420500, Russian Federation; Department of Electrical and Computer Engineering, University of Houston, Houston, TX  77004, United States; Department of Computer Science and Engineering, Kyung Hee University, Seoul, 446-701, South Korea","Dang, T.N., Department of Computer Science and Engineering, Kyung Hee University, Yongin, 17104, South Korea; Kim, K., Department of Computer Science and Engineering, Kyung Hee University, Yongin, 17104, South Korea; Khan, L.U., Department of Computer Science and Engineering, Kyung Hee University, Yongin, 17104, South Korea; Kazmi, S.M.A., Department of Computer Science and Engineering, Kyung Hee University, Yongin, 17104, South Korea, Networks and Blockchain Lab, Institute of Information Security and Cyber Physical System, Innopolis University, Innopolis, 420500, Russian Federation; Han, Z., Department of Electrical and Computer Engineering, University of Houston, Houston, TX  77004, United States, Department of Computer Science and Engineering, Kyung Hee University, Seoul, 446-701, South Korea; Hong, C.S., Department of Computer Science and Engineering, Kyung Hee University, Yongin, 17104, South Korea",Article,"Final","",Scopus,2-s2.0-85107204369
"Kolpakov V.N., Pigareva Y.I., Gladkov A.A., Bukatin A.S., Kazantsev V.B., Mukhina I.V., Pimashkin A.S.","57191381002;57035413100;55696429000;52363325000;7005605401;55263161500;56165145700;","Model of ‘implant-host’ neural circuits in a microfluidic chip in vitro",2021,"Journal of Physics: Conference Series","2086","1","012111","","",,,"10.1088/1742-6596/2086/1/012111","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122353154&doi=10.1088%2f1742-6596%2f2086%2f1%2f012111&partnerID=40&md5=8ee4a2a3776f9a42c0b5e954b4711bad","Neurotechnology Department, Lobachevsky State University of Nizhny Novgorod, Nizhny Novgorod, 603950, Russian Federation; Cell Technology Department, Central Research Laboratory, Privolzhsky Research Medical University, Nizhny Novgorod, 603005, Russian Federation; Laboratory of Renewable Energy Sources, Alferov Saint-Petersburg National Research Academic University of the Russian Academy of Sciences, Saint-Petersburg, 194021, Russian Federation; Laboratory of Bio and Chemosensor Microsystems, Institute for Analytical Instrumentation of the RAS, Saint-Petersburg, 198095, Russian Federation; Neuroscience and Cognitive Technology Laboratory, Center for Technologies in Robotics and Mechatronics Components, Innopolis University, 1 Universitetskaya Str., Innopolis, 420500, Russian Federation; Center for Neurotechnology and Machine Learning, Immanuel Kant Baltic Federal University, 14 Nevsky Str., Kaliningrad, 236016, Russian Federation","Kolpakov, V.N., Neurotechnology Department, Lobachevsky State University of Nizhny Novgorod, Nizhny Novgorod, 603950, Russian Federation; Pigareva, Y.I., Neurotechnology Department, Lobachevsky State University of Nizhny Novgorod, Nizhny Novgorod, 603950, Russian Federation; Gladkov, A.A., Neurotechnology Department, Lobachevsky State University of Nizhny Novgorod, Nizhny Novgorod, 603950, Russian Federation, Cell Technology Department, Central Research Laboratory, Privolzhsky Research Medical University, Nizhny Novgorod, 603005, Russian Federation; Bukatin, A.S., Laboratory of Renewable Energy Sources, Alferov Saint-Petersburg National Research Academic University of the Russian Academy of Sciences, Saint-Petersburg, 194021, Russian Federation, Laboratory of Bio and Chemosensor Microsystems, Institute for Analytical Instrumentation of the RAS, Saint-Petersburg, 198095, Russian Federation; Kazantsev, V.B., Neurotechnology Department, Lobachevsky State University of Nizhny Novgorod, Nizhny Novgorod, 603950, Russian Federation, Neuroscience and Cognitive Technology Laboratory, Center for Technologies in Robotics and Mechatronics Components, Innopolis University, 1 Universitetskaya Str., Innopolis, 420500, Russian Federation, Center for Neurotechnology and Machine Learning, Immanuel Kant Baltic Federal University, 14 Nevsky Str., Kaliningrad, 236016, Russian Federation; Mukhina, I.V., Neurotechnology Department, Lobachevsky State University of Nizhny Novgorod, Nizhny Novgorod, 603950, Russian Federation, Cell Technology Department, Central Research Laboratory, Privolzhsky Research Medical University, Nizhny Novgorod, 603005, Russian Federation; Pimashkin, A.S., Neurotechnology Department, Lobachevsky State University of Nizhny Novgorod, Nizhny Novgorod, 603950, Russian Federation",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85122353154
